m1_source,m2_source,dL,z,likelihood,posterior
6.195138513713414063e+00,1.395041480077156670e+00,2.831940060963335100e+02,6.130954374876047136e-02,1.107275213763150077e-05,1.107275213763150077e-05
6.204946406642878109e+00,1.366651590637563807e+00,3.399742499999999836e+02,7.300383656370772190e-02,7.516753083376120672e-06,7.516753083376120672e-06
6.716679175634348020e+00,1.306320928132625125e+00,2.937307917665966102e+02,6.349318622561747616e-02,1.025044494808021670e-05,1.025044494808021670e-05
5.214988767178288853e+00,1.484013951369971940e+00,5.052497399999999743e+02,1.060945205297304933e-01,3.203106562877137097e-06,3.203106562877137097e-06
7.087884838773235607e+00,1.260227762600097279e+00,2.814920200000000250e+02,6.095623321407443729e-02,1.121450703255484559e-05,1.121450703255484559e-05
5.217032901529017330e+00,1.599461646122977143e+00,2.805779499999999871e+02,6.076641732086255493e-02,1.129172818312041091e-05,1.129172818312041091e-05
6.189462084099248251e+00,1.415413991610100952e+00,2.403975772407344778e+02,5.237485257652630538e-02,1.562762636164551820e-05,1.562762636164551820e-05
5.733042170535020965e+00,1.491677219788759112e+00,2.591793183877841784e+02,5.630906768688714176e-02,1.334496774341463248e-05,1.334496774341463248e-05
5.496546625473179404e+00,1.496276844392494532e+00,3.464831292043395479e+02,7.433316397107751772e-02,7.219125759319606707e-06,7.219125759319606707e-06
5.789963954191245321e+00,1.438436344924103993e+00,3.322893547544552462e+02,7.143140512328551017e-02,7.891527007035395799e-06,7.891527007035395799e-06
7.018884800882350561e+00,1.272401884453252086e+00,2.776961424716582201e+02,6.016766745125819854e-02,1.154030556505789728e-05,1.154030556505789728e-05
4.475528035220774470e+00,1.815587908336670608e+00,2.815973248394357142e+02,6.097810084046287327e-02,1.120566012230148539e-05,1.120566012230148539e-05
5.091505538711088796e+00,1.527800765539553129e+00,4.665741424251073113e+02,9.847022062615513882e-02,3.808384872775245639e-06,3.808384872775245639e-06
4.594793699016874733e+00,1.775773086827563185e+00,2.686312100000000100e+02,5.828115874721923745e-02,1.237622475625848375e-05,1.237622475625848375e-05
5.233997800272370604e+00,1.655628800608974105e+00,1.730168999999999926e+02,3.808486501795171203e-02,3.100473934767773596e-05,3.100473934767773596e-05
4.147334728236062418e+00,1.926596812379264057e+00,2.785878799999999842e+02,6.035299491497678886e-02,1.146254414656944563e-05,1.146254414656944563e-05
5.824153155732066267e+00,1.480307903015391391e+00,2.488510209333727801e+02,5.414816724300931111e-02,1.453498933112714654e-05,1.453498933112714654e-05
5.095382035426441192e+00,1.603353234258764415e+00,3.219149713033665421e+02,6.930360815037203692e-02,8.441802356240073573e-06,8.441802356240073573e-06
6.372013536156856617e+00,1.370399966871806763e+00,2.807150057155940317e+02,6.079488174992152966e-02,1.128010051676814408e-05,1.128010051676814408e-05
5.503350347849671920e+00,1.573172646502166705e+00,2.029926399999999944e+02,4.447671630536245008e-02,2.224965884615741999e-05,2.224965884615741999e-05
6.955517855668881921e+00,1.296377721315749909e+00,2.437815385677745894e+02,5.308522892425684286e-02,1.517632294638900992e-05,1.517632294638900992e-05
